gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
FRMPD3	0	0	61	1.74881169117124	-Inf	0	0	48	1.43112291218881	-Inf	0	0	106	2.03533361334055	-Inf	0	0	78	1.45139525761128	-Inf
FRMPD4	528	11.7923187309627	30	6.09868756682667	0.951276709978522	569	13.2160002265426	43	9.09088304447209	0.539793273833071	492	7.35947638523139	37	5.03771252838837	0.546834325938877	560	8.11766635967357	44	5.80558103044512	0.483624584536256
FRRS1	323	3.66178908744152	50	13.690931272468	-1.90259998170021	300	3.53699579058071	44	12.5296271291632	-1.82474707476082	316	2.39935446835583	47	8.61940665364629	-1.84494225011994	353	2.59742725443235	58	10.3078683601781	-1.9885907684758
FRRS1L	1	0.00750188014929756	0	0	Inf	0	0	0	0	NA	2	0.0100488564892408	0	0	Inf	1	0.00486909228161458	0	0	Inf
FRS2	0	0	1915	21.2872996843751	-Inf	0	0	1934	22.3578866559141	-Inf	0	0	2446	18.210621817168	-Inf	0	0	2782	20.0718224026905	-Inf
FRS3	0	0	161	19.4608570826127	-Inf	0	0	114	14.3305686207014	-Inf	0	0	202	16.3532465128984	-Inf	0	0	204	16.0045747325784	-Inf
FRY	60	0.888795759117992	5	2.65685398950865	-1.57979510698034	60	0.924324486481317	6	3.31567090546714	-1.84282951281413	151	1.49811170548279	10	3.55888709524894	-1.24828096326378	175	1.68254487495649	15	5.17329002712931	-1.62043709147768
FRYL	632	17.8706326510344	78	24.770054117573	-0.47100631142407	592	17.4087280277214	71	23.4483984843243	-0.429678594614658	1073	20.3207202936467	114	24.2467609554416	-0.254840494147145	1147	21.0505841156603	108	22.2604527084523	-0.080622666886569
FSCN1	0	0	3086	140.237797218288	-Inf	0	0	2574	121.646659325136	-Inf	0	0	9210	280.314340801991	-Inf	0	0	9242	272.591938442204	-Inf
FSD1	71	22.1538371613564	371	197.138566021542	-3.15358152906642	48	15.5759423931247	273	150.863026198755	-3.275847912149	125	26.1226451032081	651	231.683549900706	-3.14878272045385	108	21.8721889984211	550	189.687300994741	-3.11645357819886
FSD1L	576	5.30058771240244	15	6.70855632350934	-0.339850002884624	666	6.37379741447053	12	5.58137935753635	0.191531457631687	2292	14.1264384679933	67	20.069157477958	-0.506582270419286	2732	16.3177442131441	97	28.1570679976588	-0.787055482615456
FSD2	675	9.25791059211614	0	0	Inf	597	8.51541905558191	0	0	Inf	945	8.68075591121991	0	0	Inf	919	8.1809286485751	0	0	Inf
FSHB	0	0	0	0	NA	0	0	1	0.0400098878676441	-Inf	0	0	0	0	NA	0	0	0	0	NA
FSHR	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
FSIP2	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
FST	54	2.77329792512539	4	2.12548319160692	0.383811757947018	53	2.83074742535337	3	1.65783545273357	0.771882209625592	100	3.43968991980998	9	3.20299838572405	0.102855444115962	152	5.06668889929756	12	4.13863202170345	0.291889268505979
FSTL1	177	4.74965787704461	18190	366.865507777933	-6.27128386209572	182	5.07905521535808	17626	369.700836362028	-6.18565433921779	294	5.2838796703161	19572	264.378367570441	-5.64486271223654	286	4.98118852412191	19857	259.935563746446	-5.70552020905112
FSTL3	283	11.8103977577178	57	9.0774530668257	0.379698082521052	215	9.33123298499468	55	9.10907610280413	0.0347629899187119	612	17.105904287055	122	13.0126429636966	0.394580358983677	552	14.9518541001821	99	10.2329825877875	0.54709769055247
FSTL4	106	2.8246552941092	115	9.82782136565063	-1.79879681549633	119	3.29783586666746	155	13.7756974588875	-2.06253386108145	311	5.55055623380658	219	12.5348763789508	-1.17524350858573	300	5.18870201330745	191	10.5942609249842	-1.02983735665503
